OBJECTID,DepartmentCode,KGISVillageID,KGISWardID,KGISCode,KGISPOL_STAID,POL_STAName,KGISPSCode,latitude,longitude
123,169772003,15586,,29572055436130620000HMPOLPUOFFPOS0001,239,Kumbalagudu PS,PS - 239,12.8751639997321,77.4441459996032
130,169770277,15658,,29572055436129790000HMPOLPUOFFPOS0001,247,Tavarekere PS,PS - 247,12.9662440004315,77.4007709999584
133,164431357,30090,,29572055428031620000HMPOLPUOFFPOS0026,107,Malleshwarm PS,PS - 107,12.9966449997394,77.569587000137
134,164431358,15481,,29572055428031620000HMPOLPUOFFPOS0027,108,Srirampura PS,PS - 108,12.9899929995949,77.5650049998011
135,164431361,15481,,29572055428031620000HMPOLPUOFFPOS0028,109,Subramanya Nagar PS,PS - 109,13.0033419996475,77.5536799999682
136,164431360,15481,,29572055428031620000HMPOLPUOFFPOS0029,110,Rajajinagar PS,PS - 110,12.9946259998528,77.5542170001696
137,164431362,15483,,29572055428031620000HMPOLPUOFFPOS0030,111,Rajgopal Nagar PS,PS - 111,13.017349999738,77.5135710004188
138,164431363,15369,,29572055428031620000HMPOLPUOFFPOS0032,113,Nandini Layout PS,PS - 113,13.0123670002594,77.5367059999833
139,164430006,15480,,29572055428031620000HMPOLPUOFFPOS0033,114,Yeshwanthapura PS,PS - 114,13.018195000432,77.5580990000111
140,164431349,15480,,29572055428031620000HMPOLPUOFFPOS0034,115,"RMC Yard PS, Yeshwanthpura",PS - 115,13.023521263115,77.5499230793907
141,164431350,15491,,29572055428031620000HMPOLPUOFFPOS0035,116,Peenya PS,PS - 116,13.0360401362993,77.5211640244163
142,164432195,15450,,29572055428031620000HMPOLPUOFFPOS0036,117,Bagalgunte PS,PS - 117,13.0595489998628,77.5036570001419
143,164431348,15449,,29572055428031620000HMPOLPUOFFPOS0037,118,Gangammagudi PS,PS - 118,13.0721550001859,77.5299849997112
144,164430030,15311,,29572055426128790000HMPOLPUOFFPOS0001,119,Soladevanahalli PS,PS - 119,13.0934310001467,77.489040000408
145,164430014,15469,,29572055428031620000HMPOLPUOFFPOS0038,120,Jalahalli PS,PS - 120,13.0486679996027,77.5495399998899
146,164431351,15141,,29572055428031620000HMPOLPUOFFPOS0039,121,J.C. NagarPS,PS - 121,13.0055789999663,77.5935739997935
147,164431352,15098,,29572055428031620000HMPOLPUOFFPOS0040,122,R.T. Nagar PS,PS - 122,13.0247279997493,77.5931990004551
148,164431353,15100,,29572055428031620000HMPOLPUOFFPOS0041,123,Sanjay Nagara PS,PS - 123,13.0333540002619,77.5757999996612
149,164431354,15112,,29572055428031620000HMPOLPUOFFPOS0042,124,Hebbal PS,PS - 124,13.0383900002421,77.5896609998677
